# report v0.1.0 (Apr 13, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-04-17 15:13:36
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT915	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Acanthamoeba_polyphaga_mimivirus	0	9	0.318413	na	na	na
MSBT1641	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Mimivirus|s__Megavirus_chiliensis	0	5	0.321894	na	na	na
MSBT2449	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Klosneuvirus|s__Bodo_saltans_virus	0	1	0.276657	na	na	na
MSBT2322	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Klosneuvirus|s__Klosneuvirus_KNV1	0	1	0.331055	na	na	na
MSBT2319	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Imitervirales|f__Mimiviridae|g__Catovirus|s__Catovirus_CTV1	0	1	0.308004	na	na	na
MSBT368	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_1	0	4	0.190863	na	na	na
MSBT789	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_2	0	2	0.169421	na	na	na
MSBT2898	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_4	0	1	0.182639	na	na	na
MSBT2193	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Lymphocystivirus|s__Lymphocystis_disease_virus_Sa	0	1	0.205325	na	na	na
MSBT39	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Frog_virus_3	0	49	0.21499	na	na	na
MSBT2755	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Mandarin_fish_ranavirus	0	1	0.190369	na	na	na
MSBT1862	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Rana_catesbeiana_virus	0	2	0.180203	na	na	na
MSBT1420	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Short_finned_eel_ranavirus	0	1	0.183547	na	na	na
MSBT2457	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Ranavirus|s__Rana_catesbeiana_virus_2	0	1	0.178911	na	na	na
MSBT2561	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Megalocytivirus|s__South_American_cichlid_iridovirus	0	1	0.194608	na	na	na
MSBT2074	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Megalocytivirus|s__Scale_drop_disease_virus	0	3	0.202549	na	na	na
MSBT2562	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Megalocytivirus|s__Three_spot_gourami_iridovirus	0	1	0.194772	na	na	na
MSBT1821	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Chloriridovirus|s__Invertebrate_iridovirus_22	0	1	0.17244	na	na	na
MSBT1917	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Chloriridovirus|s__Anopheles_minimus_iridovirus	0	1	0.226516	na	na	na
MSBT1822	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Iridoviridae|g__Chloriridovirus|s__Invertebrate_iridovirus_25	0	1	0.194822	na	na	na
MSBT1482	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Marseillevirus_marseillevirus	0	1	0.279605	na	na	na
MSBT2264	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Noumeavirus	0	1	0.283196	na	na	na
